15	368.119680672	1.13256227039	427.099017195	0.709889545047
1	3.57770808454	0.00546849062345	4.96404917597	0.013842418916
20	633.326544191	1.20385591524	718.841121244	0.992782525294
2	7.77520330375	0.0101744507555	9.74605862358	0.017964821644
30	1149.04449639	1.46284771351	1255.20237975	1.37050195464
#33	-359162418.334	629589611.83	1427.83937015	1.45719694452
34	1373.92590202	1.69777771377	1478.84737333	1.48308172891
5	33.1011093627	0.0696361973773	48.8357963765	0.1322588522
7	67.5479801321	0.162117771735	97.4458402963	0.251522338059
3	13.5874378231	0.0224785383468	17.531290602	0.0350588435012
25	882.562872837	2.12778443307	975.453725497	1.18665717577
0.9	3.1768028386	0.0050636540187	4.2551523277	0.0100396305688
0.5	1.6153018479	0.00307608886732	2.28141994805	0.00630503451155
